County,Registered Voters,# In Person On 10/03/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055",0,0,0.0%,"1,507","1,507",0.06%,Click Here
DALLAS,"1,467,410",0,0,0.0%,2,2,0.0%,Click Here
TARRANT,"1,309,456",0,0,0.0%,155,155,0.01%,Click Here
BEXAR,"1,295,580",0,0,0.0%,177,177,0.01%,Click Here
TRAVIS,"926,313",0,0,0.0%,204,204,0.02%,Click Here
COLLIN,"748,752",0,0,0.0%,82,82,0.01%,Click Here
DENTON,"661,565",0,0,0.0%,442,442,0.07%,Click Here
FORT BEND,"555,569",0,0,0.0%,59,59,0.01%,Click Here
EL PASO,"521,945",0,0,0.0%,140,140,0.03%,Click Here
MONTGOMERY,"453,832",0,0,0.0%,"1,063","1,063",0.23%,Click Here
WILLIAMSON,"445,326",0,0,0.0%,61,61,0.01%,Click Here
HIDALGO,"442,759",0,0,0.0%,0,0,0.0%,Click Here
BRAZORIA,"249,840",0,0,0.0%,484,484,0.19%,Click Here
GALVESTON,"245,695",0,0,0.0%,160,160,0.07%,Click Here
BELL,"240,207",0,0,0.0%,56,56,0.02%,Click Here
CAMERON,"238,215",0,0,0.0%,8,8,0.0%,Click Here
NUECES,"218,753",0,0,0.0%,13,13,0.01%,Click Here
LUBBOCK,"197,198",0,0,0.0%,1,1,0.0%,Click Here
HAYS,"186,198",0,0,0.0%,536,536,0.29%,Click Here
SMITH,"162,009",0,0,0.0%,15,15,0.01%,Click Here
MCLENNAN,"159,331",0,0,0.0%,21,21,0.01%,Click Here
WEBB,"148,536",0,0,0.0%,24,24,0.02%,Click Here
JEFFERSON,"147,938",0,0,0.0%,11,11,0.01%,Click Here
ELLIS,"147,399",0,0,0.0%,31,31,0.02%,Click Here
COMAL,"143,696",0,0,0.0%,81,81,0.06%,Click Here
BRAZOS,"133,384",0,0,0.0%,256,256,0.19%,Click Here
GUADALUPE,"130,489",0,0,0.0%,444,444,0.34%,Click Here
JOHNSON,"129,287",0,0,0.0%,58,58,0.04%,Click Here
PARKER,"127,635",0,0,0.0%,269,269,0.21%,Click Here
KAUFMAN,"106,171",0,0,0.0%,0,0,0.0%,Click Here
RANDALL,"100,105",0,0,0.0%,468,468,0.47%,Click Here
GRAYSON,"99,082",0,0,0.0%,0,0,0.0%,Click Here
MIDLAND,"99,004",0,0,0.0%,3,3,0.0%,Click Here
TAYLOR,"89,791",0,0,0.0%,0,0,0.0%,Click Here
ROCKWALL,"87,932",0,0,0.0%,2,2,0.0%,Click Here
ECTOR,"86,640",0,0,0.0%,72,72,0.08%,Click Here
WICHITA,"79,805",0,0,0.0%,1,1,0.0%,Click Here
GREGG,"76,263",0,0,0.0%,8,8,0.01%,Click Here
HUNT,"72,860",0,0,0.0%,151,151,0.21%,Click Here
TOM GREEN,"72,586",0,0,0.0%,573,573,0.79%,Click Here
BOWIE,"62,656",0,0,0.0%,198,198,0.32%,Click Here
BASTROP,"61,403",0,0,0.0%,162,162,0.26%,Click Here
POTTER,"59,681",0,0,0.0%,142,142,0.24%,Click Here
HENDERSON,"59,479",0,0,0.0%,1,1,0.0%,Click Here
VICTORIA,"58,087",0,0,0.0%,691,691,1.19%,Click Here
ORANGE,"56,232",0,0,0.0%,170,170,0.3%,Click Here
ANGELINA,"55,965",0,4,0.01%,187,191,0.34%,Click Here
WISE,"55,864",0,0,0.0%,12,12,0.02%,Click Here
LIBERTY,"54,530",0,0,0.0%,11,11,0.02%,Click Here
HOOD,"51,704",0,0,0.0%,75,75,0.15%,Click Here
HARRISON,"47,283",0,0,0.0%,11,11,0.02%,Click Here
