County,Registered Voters,# In Person On 09/29/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055",0,0,0.0%,12,12,0.0%,Click Here
DALLAS,"1,467,410",0,0,0.0%,2,2,0.0%,Click Here
TARRANT,"1,309,456",0,0,0.0%,22,22,0.0%,Click Here
BEXAR,"1,295,580",0,0,0.0%,2,2,0.0%,Click Here
TRAVIS,"926,313",0,0,0.0%,7,7,0.0%,Click Here
COLLIN,"748,752",0,0,0.0%,1,1,0.0%,Click Here
DENTON,"661,565",0,0,0.0%,0,0,0.0%,Click Here
FORT BEND,"555,569",0,0,0.0%,1,1,0.0%,Click Here
EL PASO,"521,945",0,0,0.0%,5,5,0.0%,Click Here
MONTGOMERY,"453,832",0,0,0.0%,22,22,0.0%,Click Here
WILLIAMSON,"445,326",0,0,0.0%,8,8,0.0%,Click Here
HIDALGO,"442,759",0,0,0.0%,0,0,0.0%,Click Here
BRAZORIA,"249,840",0,0,0.0%,6,6,0.0%,Click Here
GALVESTON,"245,695",0,0,0.0%,5,5,0.0%,Click Here
BELL,"240,207",0,0,0.0%,0,0,0.0%,Click Here
CAMERON,"236,788",0,0,0.0%,0,0,0.0%,Click Here
NUECES,"218,753",0,0,0.0%,0,0,0.0%,Click Here
LUBBOCK,"194,087",0,0,0.0%,0,0,0.0%,Click Here
HAYS,"186,198",0,0,0.0%,19,19,0.01%,Click Here
SMITH,"162,009",0,0,0.0%,1,1,0.0%,Click Here
MCLENNAN,"157,261",0,0,0.0%,0,0,0.0%,Click Here
WEBB,"148,536",0,0,0.0%,0,0,0.0%,Click Here
JEFFERSON,"147,938",0,0,0.0%,0,0,0.0%,Click Here
ELLIS,"145,435",0,0,0.0%,0,0,0.0%,Click Here
COMAL,"142,298",0,0,0.0%,0,0,0.0%,Click Here
BRAZOS,"133,384",0,0,0.0%,4,4,0.0%,Click Here
GUADALUPE,"130,489",0,0,0.0%,31,31,0.02%,Click Here
JOHNSON,"129,287",0,0,0.0%,0,0,0.0%,Click Here
PARKER,"127,635",0,0,0.0%,7,7,0.01%,Click Here
KAUFMAN,"106,171",0,0,0.0%,0,0,0.0%,Click Here
RANDALL,"100,105",0,0,0.0%,92,92,0.09%,Click Here
GRAYSON,"99,082",0,0,0.0%,0,0,0.0%,Click Here
MIDLAND,"98,216",0,0,0.0%,0,0,0.0%,Click Here
TAYLOR,"89,791",0,0,0.0%,0,0,0.0%,Click Here
ROCKWALL,"86,878",0,0,0.0%,0,0,0.0%,Click Here
ECTOR,"86,640",0,0,0.0%,0,0,0.0%,Click Here
WICHITA,"79,805",0,0,0.0%,0,0,0.0%,Click Here
GREGG,"76,263",0,0,0.0%,1,1,0.0%,Click Here
HUNT,"72,860",0,0,0.0%,13,13,0.02%,Click Here
TOM GREEN,"72,586",0,0,0.0%,260,260,0.36%,Click Here
BOWIE,"62,656",0,0,0.0%,0,0,0.0%,Click Here
BASTROP,"61,403",0,0,0.0%,3,3,0.0%,Click Here
POTTER,"59,681",0,0,0.0%,0,0,0.0%,Click Here
HENDERSON,"58,955",0,0,0.0%,0,0,0.0%,Click Here
VICTORIA,"58,087",0,0,0.0%,105,105,0.18%,Click Here
ORANGE,"56,232",0,0,0.0%,0,0,0.0%,Click Here
ANGELINA,"55,965",4,4,0.01%,1,5,0.01%,Click Here
WISE,"55,864",0,0,0.0%,5,5,0.01%,Click Here
LIBERTY,"54,530",0,0,0.0%,0,0,0.0%,Click Here
HOOD,"51,704",0,0,0.0%,3,3,0.01%,Click Here
HARRISON,"47,283",0,0,0.0%,5,5,0.01%,Click Here
CORYELL,"46,995",0,0,0.0%,60,60,0.13%,Click Here
SAN PATRICIO,"45,265",0,0,0.0%,0,0,0.0%,Click Here
POLK,"44,308",0,0,0.0%,0,0,0.0%,Click Here
WALLER,"43,026",0,0,0.0%,0,0,0.0%,Click Here
HARDIN,"43,016",0,0,0.0%,0,0,0.0%,Click Here
VAN ZANDT,"41,749",0,0,0.0%,0,0,0.0%,Click Here
NACOGDOCHES,"40,051",0,0,0.0%,3,3,0.01%,Click Here
KERR,"39,721",0,0,0.0%,0,0,0.0%,Click Here
BURNET,"39,186",0,0,0.0%,15,15,0.04%,Click Here
WILSON,"39,092",0,0,0.0%,5,5,0.01%,Click Here
KENDALL,"38,959",0,0,0.0%,8,8,0.02%,Click Here
MEDINA,"38,180",0,0,0.0%,0,0,0.0%,Click Here
WALKER,"38,166",0,0,0.0%,0,0,0.0%,Click Here
CHAMBERS,"36,809",0,0,0.0%,0,0,0.0%,Click Here
STARR,"36,420",0,0,0.0%,0,0,0.0%,Click Here
MAVERICK,"35,947",0,0,0.0%,0,0,0.0%,Click Here
WOOD,"35,207",0,0,0.0%,0,0,0.0%,Click Here
RUSK,"34,277",0,0,0.0%,2,2,0.01%,Click Here
LAMAR,"32,830",0,0,0.0%,0,0,0.0%,Click Here
NAVARRO,"32,661",0,0,0.0%,0,0,0.0%,Click Here
CHEROKEE,"32,121",0,0,0.0%,1,1,0.0%,Click Here
ATASCOSA,"31,893",0,0,0.0%,0,0,0.0%,Click Here
ANDERSON,"30,613",0,0,0.0%,0,0,0.0%,Click Here
UPSHUR,"30,210",0,0,0.0%,0,0,0.0%,Click Here
COOKE,"30,193",0,0,0.0%,4,4,0.01%,Click Here
VAL VERDE,"30,117",0,0,0.0%,52,52,0.17%,Click Here
CALDWELL,"27,097",0,0,0.0%,1,1,0.0%,Click Here
HILL,"26,589",0,0,0.0%,0,0,0.0%,Click Here
WHARTON,"26,294",0,0,0.0%,0,0,0.0%,Click Here
JIM WELLS,"26,287",0,0,0.0%,0,0,0.0%,Click Here
ERATH,"25,961",0,0,0.0%,0,0,0.0%,Click Here
WASHINGTON,"25,794",0,0,0.0%,1,1,0.0%,Click Here
HOPKINS,"25,383",0,0,0.0%,0,0,0.0%,Click Here
BROWN,"25,193",0,0,0.0%,0,0,0.0%,Click Here
FANNIN,"24,942",0,0,0.0%,55,55,0.22%,Click Here
JASPER,"24,371",0,0,0.0%,0,0,0.0%,Click Here
MATAGORDA,"22,394",0,0,0.0%,0,0,0.0%,Click Here
AUSTIN,"21,991",0,0,0.0%,0,0,0.0%,Click Here
GILLESPIE,"21,884",0,0,0.0%,3,3,0.01%,Click Here
CASS,"21,812",0,0,0.0%,142,142,0.65%,Click Here
GRIMES,"20,848",0,0,0.0%,0,0,0.0%,Click Here
SAN JACINTO,"20,406",0,0,0.0%,0,0,0.0%,Click Here
PALO PINTO,"20,351",0,0,0.0%,68,68,0.33%,Click Here
ARANSAS,"19,849",0,0,0.0%,5,5,0.03%,Click Here
BANDERA,"19,026",0,0,0.0%,0,0,0.0%,Click Here
KLEBERG,"18,689",0,0,0.0%,2,2,0.01%,Click Here
LLANO,"18,455",0,0,0.0%,7,7,0.04%,Click Here
FAYETTE,"18,353",0,0,0.0%,74,74,0.4%,Click Here
HALE,"18,143",0,0,0.0%,0,0,0.0%,Click Here
TITUS,"17,949",0,0,0.0%,0,0,0.0%,Click Here
UVALDE,"17,863",0,0,0.0%,0,0,0.0%,Click Here
PANOLA,"17,836",0,0,0.0%,60,60,0.34%,Click Here
MILAM,"17,208",0,0,0.0%,1,1,0.01%,Click Here
HOWARD,"17,198",0,0,0.0%,37,37,0.22%,Click Here
LAMPASAS,"16,777",0,0,0.0%,0,0,0.0%,Click Here
SHELBY,"16,320",0,0,0.0%,0,0,0.0%,Click Here
BEE,"15,979",0,0,0.0%,2,2,0.01%,Click Here
MONTAGUE,"15,649",0,0,0.0%,0,0,0.0%,Click Here
TYLER,"14,820",0,0,0.0%,0,0,0.0%,Click Here
COLORADO,"14,775",0,0,0.0%,29,29,0.2%,Click Here
LAVACA,"14,431",0,0,0.0%,0,0,0.0%,Click Here
LIMESTONE,"14,355",0,0,0.0%,0,0,0.0%,Click Here
HOCKLEY,"13,877",0,0,0.0%,0,0,0.0%,Click Here
BURLESON,"13,840",0,0,0.0%,0,0,0.0%,Click Here
HOUSTON,"13,818",0,0,0.0%,0,0,0.0%,Click Here
BOSQUE,"13,554",0,0,0.0%,0,0,0.0%,Click Here
HUTCHINSON,"13,402",0,0,0.0%,0,0,0.0%,Click Here
FREESTONE,"13,320",0,0,0.0%,0,0,0.0%,Click Here
CALHOUN,"13,223",0,0,0.0%,23,23,0.17%,Click Here
GONZALES,"13,114",0,0,0.0%,0,0,0.0%,Click Here
LEON,"12,654",0,0,0.0%,19,19,0.15%,Click Here
EASTLAND,"12,520",0,0,0.0%,3,3,0.02%,Click Here
ROBERTSON,"12,504",0,0,0.0%,0,0,0.0%,Click Here
YOUNG,"12,347",0,0,0.0%,0,0,0.0%,Click Here
GRAY,"12,317",0,0,0.0%,0,0,0.0%,Click Here
TRINITY,"12,283",8,8,0.07%,0,8,0.07%,Click Here
LEE,"12,168",0,0,0.0%,1,1,0.01%,Click Here
WILLACY,"11,637",0,0,0.0%,0,0,0.0%,Click Here
DEWITT,"11,357",0,0,0.0%,2,2,0.02%,Click Here
BLANCO,"11,014",0,0,0.0%,3,3,0.03%,Click Here
JONES,"10,883",0,0,0.0%,41,41,0.38%,Click Here
ANDREWS,"10,739",0,0,0.0%,14,14,0.13%,Click Here
FALLS,"10,562",0,0,0.0%,2,2,0.02%,Click Here
GAINES,"10,467",0,0,0.0%,0,0,0.0%,Click Here
CALLAHAN,"10,368",0,0,0.0%,0,0,0.0%,Click Here
MOORE,"10,130",0,0,0.0%,0,0,0.0%,Click Here
COMANCHE,"10,022",0,0,0.0%,0,0,0.0%,Click Here
JACKSON,"9,894",0,0,0.0%,0,0,0.0%,Click Here
FRIO,"9,486",0,0,0.0%,0,0,0.0%,Click Here
NEWTON,"9,478",0,0,0.0%,0,0,0.0%,Click Here
RAINS,"9,404",0,0,0.0%,0,0,0.0%,Click Here
SCURRY,"9,351",0,0,0.0%,0,0,0.0%,Click Here
MORRIS,"8,948",0,0,0.0%,2,2,0.02%,Click Here
DEAF SMITH,"8,718",0,0,0.0%,0,0,0.0%,Click Here
RED RIVER,"8,658",0,0,0.0%,0,0,0.0%,Click Here
NOLAN,"8,494",0,0,0.0%,6,6,0.07%,Click Here
SABINE,"8,446",0,0,0.0%,10,10,0.12%,Click Here
KARNES,"8,439",0,0,0.0%,0,0,0.0%,Click Here
MADISON,"8,420",0,0,0.0%,0,0,0.0%,Click Here
CAMP,"8,381",0,0,0.0%,0,0,0.0%,Click Here
PECOS,"8,320",0,0,0.0%,0,0,0.0%,Click Here
CLAY,"8,291",0,0,0.0%,15,15,0.18%,Click Here
ZAPATA,"8,117",0,0,0.0%,0,0,0.0%,Click Here
WILBARGER,"8,095",0,0,0.0%,0,0,0.0%,Click Here
DUVAL,"7,971",0,0,0.0%,0,0,0.0%,Click Here
LAMB,"7,826",0,0,0.0%,0,0,0.0%,Click Here
ZAVALA,"7,810",0,0,0.0%,0,0,0.0%,Click Here
REEVES,"7,781",0,0,0.0%,0,0,0.0%,Click Here
LIVE OAK,"7,774",0,0,0.0%,0,0,0.0%,Click Here
MARION,"7,773",0,0,0.0%,0,0,0.0%,Click Here
FRANKLIN,"7,599",0,0,0.0%,3,3,0.04%,Click Here
BREWSTER,"7,408",0,0,0.0%,27,27,0.36%,Click Here
SOMERVELL,"7,344",0,0,0.0%,0,0,0.0%,Click Here
WARD,"7,026",0,0,0.0%,0,0,0.0%,Click Here
ARCHER,"6,968",0,0,0.0%,0,0,0.0%,Click Here
RUNNELS,"6,829",0,0,0.0%,0,0,0.0%,Click Here
DAWSON,"6,734",0,0,0.0%,0,0,0.0%,Click Here
DIMMIT,"6,679",0,0,0.0%,0,0,0.0%,Click Here
TERRY,"6,367",0,0,0.0%,0,0,0.0%,Click Here
