day,requested,sent,returned,party,method
2020-09-18 00:00:00,243148,209232,37269,OTH,MAIL
2020-09-18 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-19 00:00:00,245183,210394,38721,OTH,MAIL
2020-09-19 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-20 00:00:00,246695,211185,38830,OTH,MAIL
2020-09-20 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-21 00:00:00,253089,219208,47942,OTH,MAIL
2020-09-21 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-22 00:00:00,257609,223317,53868,OTH,MAIL
2020-09-22 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-23 00:00:00,262885,228625,61724,OTH,MAIL
2020-09-23 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-24 00:00:00,267824,237722,68650,OTH,MAIL
2020-09-24 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-25 00:00:00,271260,241919,74488,OTH,MAIL
2020-09-25 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-26 00:00:00,272842,242297,76911,OTH,MAIL
2020-09-26 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-27 00:00:00,274071,243368,77107,OTH,MAIL
2020-09-27 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-28 00:00:00,279109,254797,84541,OTH,MAIL
2020-09-28 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-29 00:00:00,283669,257685,87133,OTH,MAIL
2020-09-29 00:00:00,0,0,0,OTH,EARLY VOTING
2020-09-30 00:00:00,289723,262412,96487,OTH,MAIL
2020-09-30 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-01 00:00:00,293298,270272,101155,OTH,MAIL
2020-10-01 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-02 00:00:00,296686,273856,108111,OTH,MAIL
2020-10-02 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-03 00:00:00,298244,274098,111325,OTH,MAIL
2020-10-03 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-04 00:00:00,299839,274321,111659,OTH,MAIL
2020-10-04 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-05 00:00:00,304544,283691,120148,OTH,MAIL
2020-10-05 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-06 00:00:00,308186,287498,124106,OTH,MAIL
2020-10-06 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-07 00:00:00,311512,296035,132700,OTH,MAIL
2020-10-07 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-08 00:00:00,315841,299676,139641,OTH,MAIL
2020-10-08 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-09 00:00:00,319439,302881,147146,OTH,MAIL
2020-10-09 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-10 00:00:00,320914,303498,149859,OTH,MAIL
2020-10-10 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-11 00:00:00,321994,304210,151159,OTH,MAIL
2020-10-11 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-12 00:00:00,324306,311618,154930,OTH,MAIL
2020-10-12 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-13 00:00:00,326599,317814,160595,OTH,MAIL
2020-10-13 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-14 00:00:00,328623,319483,170925,OTH,MAIL
2020-10-14 00:00:00,0,0,0,OTH,EARLY VOTING
2020-10-15 00:00:00,331289,321146,180127,OTH,MAIL
2020-10-15 00:00:00,86939,86939,86939,OTH,EARLY VOTING
2020-10-16 00:00:00,333292,324661,190757,OTH,MAIL
2020-10-16 00:00:00,177424,177424,177424,OTH,EARLY VOTING
2020-10-17 00:00:00,334493,325234,195758,OTH,MAIL
2020-10-17 00:00:00,224041,224041,224041,OTH,EARLY VOTING
2020-10-18 00:00:00,335382,325712,197612,OTH,MAIL
2020-10-18 00:00:00,247580,247580,247580,OTH,EARLY VOTING
2020-10-19 00:00:00,337299,330359,209821,OTH,MAIL
2020-10-19 00:00:00,332053,332053,332053,OTH,EARLY VOTING
2020-10-20 00:00:00,338856,332999,217001,OTH,MAIL
2020-10-20 00:00:00,413133,413133,413133,OTH,EARLY VOTING
2020-10-21 00:00:00,340316,335569,231076,OTH,MAIL
2020-10-21 00:00:00,487926,487926,487926,OTH,EARLY VOTING
2020-10-22 00:00:00,341476,338492,241314,OTH,MAIL
2020-10-22 00:00:00,555609,555609,555609,OTH,EARLY VOTING
2020-10-23 00:00:00,342643,340185,251573,OTH,MAIL
2020-10-23 00:00:00,626975,626975,626975,OTH,EARLY VOTING
2020-10-24 00:00:00,343150,340996,256791,OTH,MAIL
2020-10-24 00:00:00,664701,664701,664701,OTH,EARLY VOTING
2020-10-25 00:00:00,343551,341195,257948,OTH,MAIL
2020-10-25 00:00:00,685011,685011,685011,OTH,EARLY VOTING
2020-10-26 00:00:00,344535,343091,269456,OTH,MAIL
2020-10-26 00:00:00,752458,752458,752458,OTH,EARLY VOTING
2020-10-27 00:00:00,345583,344301,275865,OTH,MAIL
2020-10-27 00:00:00,818837,818837,818837,OTH,EARLY VOTING
2020-10-28 00:00:00,345692,345284,289025,OTH,MAIL
2020-10-28 00:00:00,885648,885648,885648,OTH,EARLY VOTING
2020-10-29 00:00:00,345794,345512,300582,OTH,MAIL
2020-10-29 00:00:00,949345,949345,949345,OTH,EARLY VOTING
2020-10-30 00:00:00,345903,345800,310561,OTH,MAIL
2020-10-30 00:00:00,1032823,1032823,1032823,OTH,EARLY VOTING
2020-10-31 00:00:00,345944,345865,318228,OTH,MAIL
2020-10-31 00:00:00,1089044,1089044,1089044,OTH,EARLY VOTING
2020-11-01 00:00:00,345975,345912,321326,OTH,MAIL
2020-11-01 00:00:00,1089045,1089045,1089045,OTH,EARLY VOTING
2020-11-02 00:00:00,346115,346115,330100,OTH,MAIL
2020-11-02 00:00:00,1089045,1089045,1089045,OTH,EARLY VOTING
2020-11-03 00:00:00,346115,346115,340034,OTH,MAIL
2020-11-03 00:00:00,1089045,1089045,1089045,OTH,EARLY VOTING
2020-09-18 00:00:00,344113,309336,70970,DEM,MAIL
2020-09-18 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-19 00:00:00,345936,310650,73515,DEM,MAIL
2020-09-19 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-20 00:00:00,347182,311577,73736,DEM,MAIL
2020-09-20 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-21 00:00:00,354580,320478,90233,DEM,MAIL
2020-09-21 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-22 00:00:00,358600,325359,100252,DEM,MAIL
2020-09-22 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-23 00:00:00,364273,331418,113800,DEM,MAIL
2020-09-23 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-24 00:00:00,369676,340182,126153,DEM,MAIL
2020-09-24 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-25 00:00:00,373310,344375,135478,DEM,MAIL
2020-09-25 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-26 00:00:00,374733,344861,138945,DEM,MAIL
2020-09-26 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-27 00:00:00,375637,346128,139241,DEM,MAIL
2020-09-27 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-28 00:00:00,381180,357362,151646,DEM,MAIL
2020-09-28 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-29 00:00:00,384871,360581,155925,DEM,MAIL
2020-09-29 00:00:00,0,0,0,DEM,EARLY VOTING
2020-09-30 00:00:00,390474,365607,169684,DEM,MAIL
2020-09-30 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-01 00:00:00,394088,373200,177076,DEM,MAIL
2020-10-01 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-02 00:00:00,397692,377038,187564,DEM,MAIL
2020-10-02 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-03 00:00:00,399042,377311,192018,DEM,MAIL
2020-10-03 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-04 00:00:00,400280,377560,192859,DEM,MAIL
2020-10-04 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-05 00:00:00,405096,386197,205011,DEM,MAIL
2020-10-05 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-06 00:00:00,408391,390016,210630,DEM,MAIL
2020-10-06 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-07 00:00:00,411296,397267,222206,DEM,MAIL
2020-10-07 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-08 00:00:00,415332,400684,232249,DEM,MAIL
2020-10-08 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-09 00:00:00,418543,403839,242603,DEM,MAIL
2020-10-09 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-10 00:00:00,419734,404469,246256,DEM,MAIL
2020-10-10 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-11 00:00:00,420415,405163,247549,DEM,MAIL
2020-10-11 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-12 00:00:00,422584,411612,253158,DEM,MAIL
2020-10-12 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-13 00:00:00,424719,416621,261086,DEM,MAIL
2020-10-13 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-14 00:00:00,426455,418441,273454,DEM,MAIL
2020-10-14 00:00:00,0,0,0,DEM,EARLY VOTING
2020-10-15 00:00:00,428714,420076,285099,DEM,MAIL
2020-10-15 00:00:00,166433,166433,166433,DEM,EARLY VOTING
2020-10-16 00:00:00,430631,423347,298844,DEM,MAIL
2020-10-16 00:00:00,297119,297119,297119,DEM,EARLY VOTING
2020-10-17 00:00:00,431548,423840,304899,DEM,MAIL
2020-10-17 00:00:00,369934,369934,369934,DEM,EARLY VOTING
2020-10-18 00:00:00,432170,424252,307307,DEM,MAIL
2020-10-18 00:00:00,410036,410036,410036,DEM,EARLY VOTING
2020-10-19 00:00:00,433996,428142,321488,DEM,MAIL
2020-10-19 00:00:00,524408,524408,524408,DEM,EARLY VOTING
2020-10-20 00:00:00,435297,430504,330315,DEM,MAIL
2020-10-20 00:00:00,622889,622889,622889,DEM,EARLY VOTING
2020-10-21 00:00:00,436661,432605,344048,DEM,MAIL
