day,requested,sent,returned,party,method,daysLeft,year
2020-09-18,243148.0,209232.0,37269.0,OTH,MAIL,46,2020
2020-09-18,0.0,0.0,0.0,OTH,EARLY VOTING,46,2020
2020-09-19,245183.0,210394.0,38721.0,OTH,MAIL,45,2020
2020-09-19,0.0,0.0,0.0,OTH,EARLY VOTING,45,2020
2020-09-20,246695.0,211185.0,38830.0,OTH,MAIL,44,2020
2020-09-20,0.0,0.0,0.0,OTH,EARLY VOTING,44,2020
2020-09-21,253089.0,219208.0,47942.0,OTH,MAIL,43,2020
2020-09-21,0.0,0.0,0.0,OTH,EARLY VOTING,43,2020
2020-09-22,257609.0,223317.0,53868.0,OTH,MAIL,42,2020
2020-09-22,0.0,0.0,0.0,OTH,EARLY VOTING,42,2020
2020-09-23,262885.0,228625.0,61724.0,OTH,MAIL,41,2020
2020-09-23,0.0,0.0,0.0,OTH,EARLY VOTING,41,2020
2020-09-24,267824.0,237722.0,68650.0,OTH,MAIL,40,2020
2020-09-24,0.0,0.0,0.0,OTH,EARLY VOTING,40,2020
2020-09-25,271260.0,241919.0,74488.0,OTH,MAIL,39,2020
2020-09-25,0.0,0.0,0.0,OTH,EARLY VOTING,39,2020
2020-09-26,272842.0,242297.0,76911.0,OTH,MAIL,38,2020
2020-09-26,0.0,0.0,0.0,OTH,EARLY VOTING,38,2020
2020-09-27,274071.0,243368.0,77107.0,OTH,MAIL,37,2020
2020-09-27,0.0,0.0,0.0,OTH,EARLY VOTING,37,2020
2020-09-28,279109.0,254797.0,84541.0,OTH,MAIL,36,2020
2020-09-28,0.0,0.0,0.0,OTH,EARLY VOTING,36,2020
2020-09-29,283669.0,257685.0,87133.0,OTH,MAIL,35,2020
2020-09-29,0.0,0.0,0.0,OTH,EARLY VOTING,35,2020
2020-09-30,289723.0,262412.0,96487.0,OTH,MAIL,34,2020
2020-09-30,0.0,0.0,0.0,OTH,EARLY VOTING,34,2020
2020-10-01,293298.0,270272.0,101155.0,OTH,MAIL,33,2020
2020-10-01,0.0,0.0,0.0,OTH,EARLY VOTING,33,2020
2020-10-02,296686.0,273856.0,108111.0,OTH,MAIL,32,2020
2020-10-02,0.0,0.0,0.0,OTH,EARLY VOTING,32,2020
2020-10-03,298244.0,274098.0,111325.0,OTH,MAIL,31,2020
2020-10-03,0.0,0.0,0.0,OTH,EARLY VOTING,31,2020
2020-10-04,299839.0,274321.0,111659.0,OTH,MAIL,30,2020
2020-10-04,0.0,0.0,0.0,OTH,EARLY VOTING,30,2020
2020-10-05,304544.0,283691.0,120148.0,OTH,MAIL,29,2020
2020-10-05,0.0,0.0,0.0,OTH,EARLY VOTING,29,2020
2020-10-06,308186.0,287498.0,124106.0,OTH,MAIL,28,2020
2020-10-06,0.0,0.0,0.0,OTH,EARLY VOTING,28,2020
2020-10-07,311512.0,296035.0,132700.0,OTH,MAIL,27,2020
2020-10-07,0.0,0.0,0.0,OTH,EARLY VOTING,27,2020
2020-10-08,315841.0,299676.0,139641.0,OTH,MAIL,26,2020
2020-10-08,0.0,0.0,0.0,OTH,EARLY VOTING,26,2020
2020-10-09,319439.0,302881.0,147146.0,OTH,MAIL,25,2020
2020-10-09,0.0,0.0,0.0,OTH,EARLY VOTING,25,2020
2020-10-10,320914.0,303498.0,149859.0,OTH,MAIL,24,2020
2020-10-10,0.0,0.0,0.0,OTH,EARLY VOTING,24,2020
2020-10-11,321994.0,304210.0,151159.0,OTH,MAIL,23,2020
2020-10-11,0.0,0.0,0.0,OTH,EARLY VOTING,23,2020
2020-10-12,324306.0,311618.0,154930.0,OTH,MAIL,22,2020
2020-10-12,0.0,0.0,0.0,OTH,EARLY VOTING,22,2020
2020-10-13,326599.0,317814.0,160595.0,OTH,MAIL,21,2020
2020-10-13,0.0,0.0,0.0,OTH,EARLY VOTING,21,2020
2020-10-14,328623.0,319483.0,170925.0,OTH,MAIL,20,2020
2020-10-14,0.0,0.0,0.0,OTH,EARLY VOTING,20,2020
2020-10-15,331289.0,321146.0,180127.0,OTH,MAIL,19,2020
2020-10-15,86939.0,86939.0,86939.0,OTH,EARLY VOTING,19,2020
2020-10-16,333292.0,324661.0,190757.0,OTH,MAIL,18,2020
2020-10-16,177424.0,177424.0,177424.0,OTH,EARLY VOTING,18,2020
2020-10-17,334493.0,325234.0,195758.0,OTH,MAIL,17,2020
2020-10-17,224041.0,224041.0,224041.0,OTH,EARLY VOTING,17,2020
2020-10-18,335382.0,325712.0,197612.0,OTH,MAIL,16,2020
2020-10-18,247580.0,247580.0,247580.0,OTH,EARLY VOTING,16,2020
2020-10-19,337299.0,330359.0,209821.0,OTH,MAIL,15,2020
2020-10-19,332053.0,332053.0,332053.0,OTH,EARLY VOTING,15,2020
2020-10-20,338856.0,332999.0,217001.0,OTH,MAIL,14,2020
2020-10-20,413133.0,413133.0,413133.0,OTH,EARLY VOTING,14,2020
2020-10-21,340316.0,335569.0,231076.0,OTH,MAIL,13,2020
2020-10-21,487926.0,487926.0,487926.0,OTH,EARLY VOTING,13,2020
2020-10-22,341476.0,338492.0,241314.0,OTH,MAIL,12,2020
2020-10-22,555609.0,555609.0,555609.0,OTH,EARLY VOTING,12,2020
2020-10-23,342643.0,340185.0,251573.0,OTH,MAIL,11,2020
2020-10-23,626975.0,626975.0,626975.0,OTH,EARLY VOTING,11,2020
2020-10-24,343150.0,340996.0,256791.0,OTH,MAIL,10,2020
2020-10-24,664701.0,664701.0,664701.0,OTH,EARLY VOTING,10,2020
2020-10-25,343551.0,341195.0,257948.0,OTH,MAIL,9,2020
2020-10-25,685011.0,685011.0,685011.0,OTH,EARLY VOTING,9,2020
2020-10-26,344535.0,343091.0,269456.0,OTH,MAIL,8,2020
2020-10-26,752458.0,752458.0,752458.0,OTH,EARLY VOTING,8,2020
2020-10-27,345583.0,344301.0,275865.0,OTH,MAIL,7,2020
2020-10-27,818837.0,818837.0,818837.0,OTH,EARLY VOTING,7,2020
2020-10-28,345692.0,345284.0,289025.0,OTH,MAIL,6,2020
2020-10-28,885648.0,885648.0,885648.0,OTH,EARLY VOTING,6,2020
2020-10-29,345794.0,345512.0,300582.0,OTH,MAIL,5,2020
2020-10-29,949345.0,949345.0,949345.0,OTH,EARLY VOTING,5,2020
2020-10-30,345903.0,345800.0,310561.0,OTH,MAIL,4,2020
2020-10-30,1032823.0,1032823.0,1032823.0,OTH,EARLY VOTING,4,2020
2020-10-31,345944.0,345865.0,318228.0,OTH,MAIL,3,2020
2020-10-31,1089044.0,1089044.0,1089044.0,OTH,EARLY VOTING,3,2020
2020-11-01,345975.0,345912.0,321326.0,OTH,MAIL,2,2020
2020-11-01,1089045.0,1089045.0,1089045.0,OTH,EARLY VOTING,2,2020
2020-11-02,346115.0,346115.0,330100.0,OTH,MAIL,1,2020
2020-11-02,1089045.0,1089045.0,1089045.0,OTH,EARLY VOTING,1,2020
2020-11-03,346115.0,346115.0,340034.0,OTH,MAIL,0,2020
2020-11-03,1089045.0,1089045.0,1089045.0,OTH,EARLY VOTING,0,2020
