day,registered_voters,year,method,party,daysLeft
2018-08-01,3112905,2018,REGISTRATION,TOTAL,
2018-09-01,3137954,2018,REGISTRATION,TOTAL,
2018-10-01,3163670,2018,REGISTRATION,TOTAL,
2018-11-01,3252407,2018,REGISTRATION,TOTAL,
2018-12-01,3403856,2018,REGISTRATION,TOTAL,
2019-01-01,3425218,2019,REGISTRATION,TOTAL,
2019-02-01,3420099,2019,REGISTRATION,TOTAL,
2019-04-01,3411227,2019,REGISTRATION,TOTAL,
2019-05-01,3419294,2019,REGISTRATION,TOTAL,
2019-06-01,3416739,2019,REGISTRATION,TOTAL,
2019-07-01,3414141,2019,REGISTRATION,TOTAL,
2019-08-01,3346373,2019,REGISTRATION,TOTAL,
2019-09-01,3318929,2019,REGISTRATION,TOTAL,
2019-10-01,3329127,2019,REGISTRATION,TOTAL,
2019-11-01,3304979,2019,REGISTRATION,TOTAL,
2019-12-01,3304851,2019,REGISTRATION,TOTAL,
2020-01-01,3306906,2020,REGISTRATION,TOTAL,
2020-02-01,3308904,2020,REGISTRATION,TOTAL,
2020-03-01,3319643,2020,REGISTRATION,TOTAL,
2020-04-01,3387132,2020,REGISTRATION,TOTAL,
2020-05-01,3397693,2020,REGISTRATION,TOTAL,
2020-06-01,3395384,2020,REGISTRATION,TOTAL,
2020-07-01,3406953,2020,REGISTRATION,TOTAL,
2020-08-01,3420587,2020,REGISTRATION,TOTAL,
2020-09-01,3476641,2020,REGISTRATION,TOTAL,
2020-10-01,3583816,2020,REGISTRATION,TOTAL,
2020-11-01,3684726,2020,REGISTRATION,TOTAL,
2020-12-01,3811193,2020,REGISTRATION,TOTAL,
2021-01-01,3816430,2021,REGISTRATION,TOTAL,
2021-02-01,3802637,2021,REGISTRATION,TOTAL,
2021-03-01,3791609,2021,REGISTRATION,TOTAL,
2021-04-01,3785340,2021,REGISTRATION,TOTAL,
2021-05-01,3788770,2021,REGISTRATION,TOTAL,
2021-06-01,3783363,2021,REGISTRATION,TOTAL,
2021-07-01,3703185,2021,REGISTRATION,TOTAL,
2021-08-01,3535850,2021,REGISTRATION,TOTAL,
2021-09-01,3527975,2021,REGISTRATION,TOTAL,
2021-10-01,3519903,2021,REGISTRATION,TOTAL,
2021-11-01,3515119,2021,REGISTRATION,TOTAL,
2021-12-01,3509165,2021,REGISTRATION,TOTAL,
2022-01-01,3500509,2022,REGISTRATION,TOTAL,
2022-02-01,3488448,2022,REGISTRATION,TOTAL,
2022-03-01,3478805,2022,REGISTRATION,TOTAL,
2022-04-01,3464359,2022,REGISTRATION,TOTAL,
2022-05-01,3478067,2022,REGISTRATION,TOTAL,
2022-06-01,3472819,2022,REGISTRATION,TOTAL,
2022-07-01,3467840,2022,REGISTRATION,TOTAL,
2022-08-01,3471728,2022,REGISTRATION,TOTAL,
2022-09-01,3525573,2022,REGISTRATION,TOTAL,
2022-10-01,3519659,2022,REGISTRATION,TOTAL,
2022-11-01,3534794,2022,REGISTRATION,TOTAL,
2022-12-01,3642036,2022,REGISTRATION,TOTAL,
2023-01-01,3628117,2023,REGISTRATION,TOTAL,93
2023-02-01,3606453,2023,REGISTRATION,TOTAL,62
2023-03-01,3605737,2023,REGISTRATION,TOTAL,34
2023-04-01,3591117,2023,REGISTRATION,TOTAL,3
2023-05-01,3609590,2023,REGISTRATION,TOTAL,-27
2023-06-01,3598723,2023,REGISTRATION,TOTAL,-58
2023-07-01,3567092,2023,REGISTRATION,TOTAL,-88
2023-08-01,3475176,2023,REGISTRATION,TOTAL,-119
2023-09-01,3469637,2023,REGISTRATION,TOTAL,-150
2023-10-01,3464831,2023,REGISTRATION,TOTAL,-180
2023-11-01,3461139,2023,REGISTRATION,TOTAL,-211
2023-12-01,3453541,2023,REGISTRATION,TOTAL,-241
2024-01-01,3444063,2024,REGISTRATION,TOTAL,
2024-02-01,3441422,2024,REGISTRATION,TOTAL,
2024-03-01,3435197,2024,REGISTRATION,TOTAL,
2024-04-01,3437532,2024,REGISTRATION,TOTAL,
2024-05-01,3458603,2024,REGISTRATION,TOTAL,
2024-06-01,3452522,2024,REGISTRATION,TOTAL,
2024-07-01,3451249,2024,REGISTRATION,TOTAL,
2024-08-01,3456732,2024,REGISTRATION,TOTAL,
2024-09-01,3503707,2024,REGISTRATION,TOTAL,
2024-10-01,3555546,2024,REGISTRATION,TOTAL,
2024-11-01,3658235,2024,REGISTRATION,TOTAL,
2024-12-01,3885960,2024,REGISTRATION,TOTAL,
2025-01-01,3884830,2025,REGISTRATION,TOTAL,90
2025-02-01,3853433,2025,REGISTRATION,TOTAL,59
